GENios;   Serial number: 12900400814;   Firmware: V 6.02 16_06_2004 Genios;   XFLUOR4 Version: V 4.51						
Date:					28/7/07	
Time:					14:02	

Comment to this measurement:					YJM789 BY4741 Y06913 MnCl2 conc. growth 30C	
Measurement mode:					Absorbance	
Measurement wavelength:					595	nm
Number of flashes:					3	
Plate definition file:					NUNC48rdft.pdf	
Number of kinetic cycles:					100	
Kinetic interval (Minimal):					1032	s
Valid temparature range:					29 - 31	°C
Shake duration between cycles (Orbital High):					1000	s
Target Temperature:					30	°C
Current Temperature:					30	°C

Rawdata					Temperature: 29.8 °C																																													
Cycle No.	Time	Temp.	A1	B1	C1	D1	E1	F1	A2	B2	C2	D2	E2	F2	A3	B3	C3	D3	E3	F3	A4	B4	C4	D4	E4	F4	A5	B5	C5	D5	E5	F5	A6	B6	C6	D6	E6	F6	A7	B7	C7	D7	E7	F7	A8	B8	C8	D8	E8	F8
65	66103	30.3	0.0665	0.0629	0.0643	0.0641	0.0667	0.0679	0.9203	0.9770	1.2355	0.9957	0.7739	0.6156	1.4728	1.4804	1.4799	1.4765	1.3832	1.2595	1.5227	1.3987	1.4725	1.5349	1.3891	1.3063	1.0200	1.3079	1.3276	0.9758	1.1223	0.9789	1.5368	1.5555	1.5605	1.5402	1.5899	1.3597	1.2167	1.5065	1.5197	1.5026	1.4164	1.5019	0.1046	0.0770	0.0790	0.1089	0.0747	0.0811
66	67135	30.0	0.0666	0.0626	0.0644	0.0638	0.0667	0.0677	1.1383	0.9892	1.2447	1.0286	0.8443	0.6618	1.4870	1.4881	1.4828	1.4873	1.3959	1.2838	1.5550	1.4374	1.4829	1.5425	1.3954	1.3283	1.0668	1.3170	1.3397	1.0331	1.1735	1.0249	1.5552	1.5572	1.5633	1.5526	1.6168	1.3799	1.3636	1.5123	1.5269	1.5154	1.5241	1.5115	0.1043	0.0780	0.0790	0.1090	0.0741	0.0801
67	68168	30.0	0.0667	0.0628	0.0651	0.0638	0.0670	0.0671	0.9741	0.9926	1.2497	1.0489	0.8174	0.6735	1.4852	1.4822	1.4771	1.4732	1.3969	1.2843	1.5490	1.4109	1.4648	1.5240	1.3674	1.3165	1.0428	1.3097	1.3226	1.0060	1.1532	1.0093	1.5329	1.5489	1.5516	1.5352	1.6143	1.3798	1.3919	1.4926	1.5041	1.4731	1.5202	1.5154	0.1039	0.0780	0.0813	0.1081	0.0749	0.0786
68	69201	30.0	0.0671	0.0629	0.0645	0.0639	0.0668	0.0675	1.1822	1.0052	1.2744	1.0571	0.8628	0.6858	1.5117	1.5065	1.4951	1.5022	1.4192	1.3078	1.5875	1.4588	1.4927	1.5517	1.4042	1.3496	1.0831	1.3514	1.3584	1.1186	1.2428	1.0437	1.5721	1.5791	1.5802	1.5645	1.6621	1.3991	1.5171	1.5278	1.5382	1.5207	1.6163	1.5338	0.1045	0.0774	0.0788	0.1065	0.0736	0.0803
69	70234	30.3	0.0670	0.0627	0.0645	0.0642	0.0676	0.0674	1.1285	1.0529	1.2989	1.0820	0.9330	0.7233	1.5173	1.5163	1.5081	1.5160	1.4313	1.3253	1.6005	1.4856	1.5058	1.5600	1.4179	1.3605	1.1323	1.3649	1.3728	1.1882	1.2419	1.0534	1.5861	1.6004	1.6028	1.5772	1.6888	1.4069	1.5603	1.5625	1.5589	1.5469	1.6654	1.5332	0.1039	0.0775	0.0797	0.1075	0.0743	0.0791
70	71267	29.8	0.0668	0.0630	0.0648	0.0636	0.0671	0.0677	1.1178	1.0405	1.3095	1.0775	0.9035	0.7460	1.5187	1.4950	1.4885	1.4890	1.4185	1.3369	1.5885	1.4348	1.4665	1.5283	1.3772	1.3597	1.1126	1.3331	1.3595	1.1515	1.2646	1.0594	1.5510	1.5506	1.5577	1.5354	1.6827	1.4182	1.5019	1.4681	1.5046	1.4795	1.6458	1.5406	0.1041	0.0773	0.0796	0.1081	0.0741	0.0794
71	72300	30.0	0.0670	0.0633	0.0650	0.0639	0.0671	0.0678	1.0922	1.0656	1.3202	1.1103	0.9587	0.7652	1.5290	1.5107	1.4999	1.5093	1.4409	1.3531	1.6023	1.4727	1.4938	1.5465	1.3998	1.3660	1.1321	1.3544	1.3719	1.1891	1.3396	1.0822	1.5796	1.5825	1.5907	1.5651	1.7156	1.4254	1.5516	1.5369	1.5407	1.5233	1.7043	1.5423	0.1043	0.0783	0.0787	0.1082	0.0784	0.0783
72	73333	30.0	0.0667	0.0632	0.0646	0.0640	0.0669	0.0670	1.1945	1.0852	1.3351	1.1617	0.9540	0.8172	1.5344	1.5051	1.5008	1.5048	1.4348	1.3715	1.5998	1.4575	1.4789	1.5404	1.3821	1.3693	1.0880	1.3304	1.3483	1.1591	1.3570	1.0850	1.5669	1.5560	1.5743	1.5537	1.7185	1.4385	1.5244	1.4866	1.4986	1.4852	1.7103	1.5545	0.1038	0.0775	0.0802	0.1094	0.0754	0.0803
73	74366	30.0	0.0668	0.0627	0.0646	0.0644	0.0665	0.0681	1.1581	1.0909	1.3457	1.1496	0.9910	0.8241	1.5488	1.5320	1.5162	1.5235	1.4575	1.3894	1.6176	1.4998	1.5085	1.5574	1.4147	1.3940	1.1607	1.3806	1.3996	1.2388	1.4894	1.1096	1.6002	1.5959	1.6047	1.5811	1.7644	1.4524	1.5949	1.5694	1.5625	1.5492	1.7608	1.5648	0.1034	0.0785	0.0795	0.1066	0.0740	0.0796
74	75399	30.0	0.0670	0.0629	0.0641	0.0636	0.0672	0.0673	1.1921	1.0989	1.3697	1.2025	1.0218	0.8607	1.5601	1.5425	1.5322	1.5433	1.4678	1.4055	1.6280	1.5241	1.5285	1.5710	1.4277	1.4010	1.1919	1.3904	1.4124	1.2570	1.5285	1.1263	1.6183	1.6240	1.6307	1.6017	1.7882	1.4655	1.6218	1.6008	1.5838	1.5716	1.7886	1.5737	0.1043	0.0775	0.0810	0.1079	0.0740	0.0777
75	76432	29.9	0.0668	0.0629	0.0647	0.0643	0.0661	0.0678	1.1913	1.1541	1.3951	1.2164	1.0885	0.8870	1.5752	1.5672	1.5591	1.5666	1.4889	1.4330	1.6441	1.5475	1.5484	1.5893	1.4505	1.4262	1.2783	1.4240	1.4419	1.2956	1.5993	1.1480	1.6394	1.6347	1.6389	1.6219	1.8285	1.4858	1.6449	1.6161	1.6030	1.5965	1.8214	1.5973	0.1053	0.0773	0.0791	0.1069	0.0742	0.0807
76	77465	29.9	0.0665	0.0627	0.0648	0.0641	0.0669	0.0679	1.1634	1.1715	1.4109	1.2380	1.0915	0.9455	1.5802	1.5708	1.5587	1.5710	1.4965	1.4521	1.6465	1.5474	1.5481	1.5939	1.4514	1.4373	1.3016	1.4302	1.4529	1.3113	1.6530	1.1663	1.6402	1.6423	1.6499	1.6255	1.8478	1.5028	1.6500	1.6165	1.5996	1.6040	1.8400	1.5969	0.1043	0.0766	0.0793	0.1098	0.0750	0.0796
77	78498	30.2	0.0669	0.0630	0.0645	0.0645	0.0664	0.0681	1.3732	1.1904	1.4299	1.2521	1.1072	0.9564	1.5918	1.5835	1.5718	1.5818	1.5129	1.4625	1.6564	1.5630	1.5612	1.6017	1.4610	1.4467	1.3118	1.4470	1.4658	1.3335	1.6828	1.1765	1.6542	1.6569	1.6570	1.6395	1.8785	1.5085	1.6629	1.6345	1.6164	1.6099	1.8749	1.6107	0.1042	0.0779	0.0788	0.1080	0.0766	0.0786
78	79531	29.9	0.0668	0.0632	0.0648	0.0645	0.0663	0.0677	1.2502	1.1857	1.4371	1.2521	1.1190	0.9670	1.5916	1.5680	1.5558	1.5629	1.5031	1.4648	1.6394	1.5333	1.5372	1.5843	1.4416	1.4375	1.3045	1.4249	1.4437	1.3061	1.6954	1.1710	1.6308	1.6296	1.6376	1.6124	1.8783	1.5122	1.6387	1.5986	1.5871	1.5828	1.8833	1.6064	0.1042	0.0785	0.0788	0.1075	0.0743	0.0793
79	80564	30.3	0.0666	0.0628	0.0645	0.0638	0.0667	0.0682	1.1782	1.2320	1.4416	1.2937	1.1825	1.0236	1.6012	1.5858	1.5714	1.5855	1.5147	1.4857	1.6492	1.5597	1.5586	1.5973	1.4523	1.4541	1.3368	1.4375	1.4673	1.3369	1.7247	1.2072	1.6466	1.6538	1.6589	1.6332	1.9083	1.5313	1.6560	1.6389	1.6160	1.6144	1.9094	1.6148	0.1039	0.0771	0.0792	0.1079	0.0756	0.0801
80	81597	30.0	0.0665	0.0630	0.0645	0.0641	0.0668	0.0679	1.1995	1.2498	1.4609	1.2997	1.1862	1.0353	1.6084	1.5894	1.5762	1.5849	1.5252	1.4951	1.6552	1.5578	1.5533	1.5962	1.4540	1.4590	1.3394	1.4555	1.4718	1.3378	1.7476	1.2155	1.6491	1.6487	1.6522	1.6283	1.9175	1.5348	1.6580	1.6206	1.6030	1.5984	1.9279	1.6299	0.1041	0.0778	0.0792	0.1069	0.0757	0.0793
81	82630	30.2	0.0671	0.0624	0.0647	0.0637	0.0668	0.0679	1.2208	1.2457	1.4611	1.3061	1.1769	1.0536	1.6101	1.5631	1.5536	1.5640	1.5164	1.4970	1.6390	1.5195	1.5233	1.5757	1.4295	1.4516	1.3249	1.4244	1.4448	1.3118	1.7669	1.2214	1.6207	1.6080	1.6204	1.6025	1.9127	1.5330	1.6256	1.5756	1.5697	1.5674	1.9172	1.6145	0.1039	0.0784	0.0791	0.1089	0.0749	0.0790
82	83663	29.9	0.0664	0.0631	0.0638	0.0645	0.0666	0.0681	1.2771	1.2762	1.4901	1.3341	1.2127	1.0878	1.6213	1.5860	1.5808	1.5885	1.5347	1.5135	1.6509	1.5497	1.5468	1.5882	1.4553	1.4706	1.3497	1.4507	1.4755	1.3493	1.7975	1.2437	1.6431	1.6378	1.6440	1.6319	1.9429	1.5564	1.6539	1.6157	1.6013	1.5977	1.9378	1.6394	0.1049	0.0778	0.0800	0.1060	0.0752	0.0802
83	84696	30.0	0.0670	0.0629	0.0645	0.0643	0.0666	0.0678	1.4803	1.2942	1.4971	1.3259	1.2164	1.0749	1.6273	1.5928	1.5835	1.5934	1.5389	1.5243	1.6515	1.5555	1.5557	1.5935	1.4562	1.4715	1.3489	1.4544	1.4737	1.3594	1.8179	1.2485	1.6524	1.6502	1.6561	1.6403	1.9627	1.5581	1.6667	1.6355	1.6134	1.6144	1.9510	1.6451	0.1039	0.0788	0.0795	0.1067	0.0742	0.0795
84	85728	30.0	0.0671	0.0627	0.0644	0.0636	0.0663	0.0672	1.5299	1.3098	1.5107	1.3612	1.2504	1.1285	1.6327	1.6032	1.5993	1.6093	1.5485	1.5376	1.6551	1.5711	1.5699	1.6038	1.4615	1.4792	1.3597	1.4674	1.4904	1.3768	1.8442	1.2685	1.6566	1.6669	1.6728	1.6508	1.9836	1.5731	1.6746	1.6534	1.6312	1.6269	1.9682	1.6515	0.1034	0.0774	0.0805	0.1069	0.0762	0.0787
85	86761	30.0	0.0666	0.0624	0.0645	0.0639	0.0669	0.0677	1.5449	1.3319	1.5331	1.3852	1.2780	1.1583	1.6412	1.6123	1.6046	1.6136	1.5543	1.5443	1.6614	1.5726	1.5695	1.6067	1.4653	1.4881	1.3782	1.4828	1.4970	1.3823	1.8695	1.2862	1.6653	1.6701	1.6742	1.6488	1.9925	1.5840	1.6790	1.6463	1.6220	1.6206	1.9765	1.6601	0.1047	0.0772	0.0795	0.1068	0.0749	0.0813
86	87794	30.2	0.0671	0.0626	0.0643	0.0641	0.0667	0.0678	1.5278	1.3435	1.5414	1.3841	1.2729	1.1649	1.6446	1.6105	1.6029	1.6132	1.5593	1.5537	1.6585	1.5722	1.5686	1.5994	1.4622	1.4908	1.3780	1.4731	1.4911	1.3869	1.8907	1.2916	1.6672	1.6672	1.6669	1.6519	2.0068	1.5855	1.6806	1.6496	1.6255	1.6254	1.9935	1.6629	0.1039	0.0783	0.0799	0.1076	0.0738	0.0784
87	88827	29.8	0.0665	0.0630	0.0646	0.0639	0.0670	0.0676	1.4715	1.3669	1.5706	1.4110	1.3049	1.2056	1.6569	1.6283	1.6247	1.6340	1.5783	1.5727	1.6712	1.5898	1.5852	1.6190	1.4800	1.5038	1.4075	1.5093	1.5234	1.4186	1.9162	1.3150	1.6806	1.6894	1.6838	1.6708	2.0295	1.6104	1.6972	1.6737	1.6438	1.6442	2.0141	1.6803	0.1037	0.0776	0.0808	0.1079	0.0759	0.0779
88	89860	30.2	0.0667	0.0631	0.0646	0.0638	0.0669	0.0677	1.5440	1.3580	1.5711	1.3968	1.2809	1.1516	1.6593	1.6152	1.6088	1.6164	1.5700	1.5722	1.6586	1.5600	1.5640	1.6018	1.4618	1.4953	1.3904	1.4739	1.4972	1.3965	1.9322	1.3225	1.6605	1.6686	1.6611	1.6475	2.0336	1.6054	1.6793	1.6452	1.6205	1.6246	2.0177	1.6744	0.1037	0.0774	0.0800	0.1078	0.0748	0.0788
89	90893	30.2	0.0668	0.0635	0.0646	0.0646	0.0669	0.0681	1.5765	1.3793	1.5893	1.4229	1.3057	1.2233	1.6625	1.6216	1.6186	1.6318	1.5805	1.5802	1.6623	1.5741	1.5743	1.6132	1.4745	1.5149	1.4082	1.4964	1.5198	1.4157	1.9532	1.3357	1.6741	1.6792	1.6792	1.6678	2.0517	1.6226	1.6899	1.6516	1.6299	1.6379	2.0340	1.6846	0.1041	0.0773	0.0790	0.1088	0.0744	0.0791
90	91926	30.0	0.0667	0.0629	0.0647	0.0643	0.0666	0.0677	1.4613	1.4093	1.5944	1.4323	1.3253	1.2214	1.6651	1.6245	1.6219	1.6340	1.5825	1.5908	1.6657	1.5792	1.5790	1.6073	1.4722	1.5153	1.4001	1.5022	1.5089	1.4045	1.9600	1.3463	1.6728	1.6808	1.6825	1.6647	2.0662	1.6212	1.6966	1.6623	1.6370	1.6393	2.0470	1.6830	0.1036	0.0776	0.0787	0.1083	0.0745	0.0787
91	92959	30.0	0.0666	0.0631	0.0644	0.0644	0.0666	0.0678	1.5877	1.4153	1.6160	1.4584	1.3521	1.2554	1.6770	1.6497	1.6440	1.6555	1.6058	1.6051	1.6809	1.6047	1.6011	1.6295	1.4980	1.5330	1.4356	1.5408	1.5497	1.4585	1.9750	1.3682	1.7018	1.7107	1.7082	1.6913	2.0945	1.6391	1.7250	1.6898	1.6632	1.6738	2.0755	1.6997	0.1035	0.0768	0.0787	0.1083	0.0778	0.0792
92	93992	30.0	0.0670	0.0630	0.0644	0.0639	0.0666	0.0681	1.5902	1.4318	1.6241	1.4616	1.3588	1.2721	1.6805	1.6508	1.6439	1.6561	1.6118	1.6118	1.6784	1.6065	1.6017	1.6289	1.4976	1.5316	1.4277	1.5370	1.5424	1.4538	1.9811	1.3719	1.7002	1.7093	1.7044	1.6889	2.1062	1.6406	1.7284	1.6944	1.6660	1.6752	2.0887	1.7003	0.1042	0.0774	0.0783	0.1070	0.0750	0.0812
93	95025	30.3	0.0669	0.0626	0.0643	0.0643	0.0672	0.0680	1.5862	1.4341	1.6241	1.4667	1.3692	1.2672	1.6755	1.6443	1.6374	1.6489	1.6055	1.6131	1.6693	1.5972	1.5959	1.6176	1.4818	1.5266	1.4112	1.5168	1.5294	1.4381	1.9877	1.3888	1.6961	1.7071	1.7001	1.6863	2.1129	1.6447	1.7230	1.6947	1.6614	1.6715	2.0977	1.7054	0.1031	0.0789	0.0791	0.1068	0.0737	0.0788
94	96058	30.0	0.0670	0.0628	0.0643	0.0639	0.0666	0.0682	1.5709	1.4440	1.6315	1.4764	1.3679	1.3188	1.6788	1.6351	1.6334	1.6467	1.6019	1.6193	1.6615	1.5805	1.5814	1.6097	1.4774	1.5279	1.4137	1.5058	1.5180	1.4250	1.9960	1.4040	1.6777	1.6894	1.6868	1.6726	2.1121	1.6538	1.7092	1.6741	1.6451	1.6564	2.1028	1.7078	0.1037	0.0770	0.0804	0.1081	0.0741	0.0785
95	97091	30.0	0.0669	0.0637	0.0644	0.0640	0.0666	0.0676	1.6109	1.4672	1.6410	1.4921	1.3941	1.3209	1.6861	1.6426	1.6402	1.6583	1.6096	1.6228	1.6684	1.5872	1.5881	1.6147	1.4824	1.5347	1.4299	1.5147	1.5287	1.4376	2.0092	1.4259	1.6923	1.6939	1.6931	1.6869	2.1273	1.6561	1.7086	1.6735	1.6516	1.6552	2.1179	1.7070	0.1038	0.0778	0.0798	0.1085	0.0734	0.0794
96	98124	30.0	0.0667	0.0627	0.0649	0.0645	0.0668	0.0683	1.6285	1.4832	1.6556	1.5147	1.4202	1.3315	1.6938	1.6659	1.6605	1.6761	1.6323	1.6391	1.6864	1.6226	1.6176	1.6352	1.5105	1.5536	1.4551	1.5621	1.5649	1.4889	2.0228	1.4394	1.7179	1.7272	1.7253	1.7079	2.1442	1.6740	1.7453	1.7178	1.6873	1.6940	2.1456	1.7257	0.1044	0.0780	0.0797	0.1061	0.0738	0.0798
97	99157	30.0	0.0672	0.0630	0.0641	0.0643	0.0673	0.0679	1.6195	1.4849	1.6511	1.5162	1.4156	1.3490	1.6841	1.6432	1.6380	1.6558	1.6140	1.6330	1.6607	1.5826	1.5823	1.6090	1.4712	1.5364	1.4296	1.5068	1.5272	1.4333	2.0229	1.4523	1.6872	1.6953	1.6878	1.6816	2.1318	1.6696	1.7029	1.6625	1.6343	1.6416	2.1302	1.7186	0.1036	0.0779	0.0799	0.1087	0.0741	0.0785
98	100190	30.0	0.0673	0.0628	0.0640	0.0644	0.0667	0.0679	1.5631	1.4951	1.6614	1.5177	1.4234	1.3220	1.6955	1.6548	1.6536	1.6716	1.6259	1.6450	1.6716	1.5954	1.5981	1.6244	1.4936	1.5507	1.4424	1.5341	1.5463	1.4589	2.0333	1.4622	1.6993	1.7110	1.7016	1.6968	2.1491	1.6849	1.7259	1.6911	1.6612	1.6708	2.1524	1.7299	0.1037	0.0776	0.0795	0.1076	0.0739	0.0787
99	101223	30.2	0.0671	0.0627	0.0642	0.0637	0.0670	0.0678	1.5663	1.5030	1.6662	1.5255	1.4320	1.3463	1.6996	1.6565	1.6517	1.6684	1.6271	1.6510	1.6690	1.5912	1.5900	1.6188	1.4864	1.5529	1.4440	1.5225	1.5397	1.4522	2.0402	1.4749	1.6979	1.7001	1.6925	1.6904	2.1537	1.6841	1.7176	1.6783	1.6493	1.6622	2.1574	1.7351	0.1037	0.0788	0.0794	0.1063	0.0749	0.0791
100	102256	30.0	0.0670	0.0631	0.0646	0.0639	0.0669	0.0675	1.5037	1.5207	1.6735	1.5494	1.4579	1.3836	1.7020	1.6594	1.6579	1.6767	1.6364	1.6573	1.6707	1.5959	1.5970	1.6226	1.4934	1.5592	1.4512	1.5391	1.5488	1.4603	2.0502	1.4903	1.7021	1.7104	1.7011	1.6988	2.1635	1.6902	1.7272	1.6822	1.6551	1.6706	2.1693	1.7316	0.1041	0.0779	0.0788	0.1072	0.0777	0.0805
